counts,revenue,meter_expired,outside_lines,off_str,fine_$63,fine_$58,single_type,flat,tod,jump
22,1386.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
244,15372.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
53,3339.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
11,693.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
244,15372.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
29,1827.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
244,15372.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
51,3213.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
244,15372.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
244,15372.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
155,9765.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
243,15309.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
241,15183.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
18,1134.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
240,15120.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
240,15120.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
45,2835.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
240,15120.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
28,1764.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
239,15057.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
239,15057.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
239,15057.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
239,15057.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
47,2961.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
238,14994.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
50,3150.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
238,14994.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
36,2268.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
20,1160.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
238,14994.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
17,1071.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
237,14931.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
237,14931.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
41,2583.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
236,14868.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
236,14868.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
55,3465.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
22,1386.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
11,693.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
236,14868.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
235,14805.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
65,4095.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
235,14805.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
169,10647.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
235,14805.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
235,14805.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
235,14805.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
20,1160.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
234,14742.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
234,14742.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
80,5040.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
12,756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
234,14742.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
17,1071.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
234,14742.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
18,1134.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
233,14679.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
14,882.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
233,14679.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
47,2961.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
17,1071.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
17,1071.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
232,14616.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
26,1638.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
25,1575.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
18,1134.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
232,14616.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
230,14490.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
72,4536.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
16,1008.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
230,14490.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
210,13230.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
23,1449.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
13,819.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
